,is_binding_SARS-CoV2_WT,is_neutral_SARS-CoV2_WT,is_nanobody,name
0,1,1,0,Curtis_3548_S-2
1,1,0,0,Curtis_3548_S-7
2,1,0,0,Curtis_3548_RBD-15
3,1,1,0,8-D9
4,1,1,0,Sun_1G11
6,1,1,0,NIV-1
7,1,1,0,NIV-5
8,1,1,0,NIV-6
9,1,1,0,NIV-8
10,1,1,0,NIV-9
11,1,1,0,NIV-10
12,1,1,0,NIV-11
13,1,1,0,NIV-12
14,1,1,0,NIV-13
15,1,1,0,NIV-15
16,1,1,0,NIV-20
17,1,1,0,NIV-22
18,1,1,0,NIV-29
19,1,1,0,NIV-30
20,1,1,0,NIV-35
21,1,1,0,NIV-36
33,1,1,0,Liu_14B1
34,1,1,0,Liu_7B3
35,1,1,1,Yang_Nb015
36,1,1,1,Yang_Nb021
42,1,1,0,COVA309-22
43,1,1,0,Huang_SKD
44,1,1,0,Huang_2F12
45,1,1,0,Huang_2G3
50,1,1,1,Hollingsworth_7A9
51,1,1,0,Sun_3E2
52,1,1,0,Sun_1C4
53,1,1,0,Sun_8H12
54,1,1,1,Sun_Nb1C6
55,1,1,1,Sun_Nb1B5
58,1,1,0,DH1338
59,1,1,0,Chia_E7
60,1,1,0,Ico-Hu23
61,1,1,1,C4-255
62,1,1,1,C4-240
63,1,1,1,C4-225
64,1,1,0,BA2.07
66,1,1,0,K202.B_Fab
67,1,1,0,K202.B_scFv
69,1,1,0,WRAIR-2151
70,1,1,1,Nb136
71,1,1,1,LM18
72,1,1,0,TH048
73,1,1,0,TH281
74,1,1,0,TH272
75,1,1,0,TH236
76,1,1,0,TH132
77,1,1,0,TH027
78,1,1,0,TH003
79,1,1,0,D27LEY
80,1,1,0,Ab_803
81,1,1,0,Ab_816
82,1,1,0,Liu_9A8
101,1,1,0,ADI-60519
111,1,0,0,ADI-57926
147,1,1,0,ADI-57886
179,1,1,0,ADI-62215
181,1,1,0,ADI-62203
186,1,1,0,ADI-62187
195,1,0,0,ADI-56706
199,1,0,0,ADI-56790
216,1,0,0,ADI-56738
222,1,1,0,ADI-56746
244,1,1,0,ADI-57934
250,1,0,0,ADI-57931
269,1,1,0,ADI-57888
273,1,1,0,ADI-57841
288,1,1,0,ADI-57817
295,1,0,0,ADI-57879
317,1,1,0,ADI-57843
321,1,1,0,ADI-57834
335,1,1,0,ADI-60562
338,1,1,0,ADI-60558
350,1,0,0,ADI-60553
360,1,1,0,ADI-62150
365,1,1,0,ADI-60675
387,1,1,0,ADI-60797
391,1,0,0,ADI-60796
393,1,1,0,ADI-60783
395,1,0,0,ADI-60785
397,1,1,0,ADI-60792
399,1,1,0,ADI-60781
410,1,1,0,ADI-60725
413,1,1,0,ADI-60735
414,1,1,0,ADI-60715
420,1,1,0,ADI-60702
434,1,0,0,ADI-60688
438,1,1,0,ADI-60736
439,1,1,0,ADI-60734
442,1,1,0,ADI-60696
449,1,1,0,ADI-60686
450,1,1,0,ADI-60701
468,1,1,0,ADI-61228
470,1,0,0,ADI-61227
478,1,1,0,ADI-60758
508,1,1,0,ADI-62176
521,1,1,0,ADI-60744
536,1,1,0,ADI-62067
540,1,1,0,ADI-62061
542,1,0,0,ADI-62115
544,1,1,0,ADI-62093
547,1,1,0,ADI-62137
569,1,0,0,ADI-62050
572,1,1,0,ADI-62075
584,1,1,0,ADI-62045
589,1,1,0,ADI-62112
594,1,1,0,ADI-62092
600,1,1,0,ADI-62114
601,1,1,0,ADI-62033
605,1,0,0,ADI-62014
614,1,1,0,ADI-62066
618,1,1,0,ADI-62104
627,1,1,0,ADI-62113
649,1,1,0,ADI-62065
653,1,1,0,ADI-62116
655,1,1,0,ADI-62054
662,1,1,0,ADI-62777
663,1,1,0,ADI-62778
665,1,1,0,ADI-62781
669,1,1,0,ADI-62785
672,1,1,0,ADI-62790
674,1,1,0,ADI-62793
676,1,1,0,ADI-62795
678,1,0,0,ADI-62798
685,1,1,0,ADI-62812
687,1,1,0,ADI-62816
690,1,1,0,ADI-62821
692,1,1,0,ADI-62824
700,1,1,0,ADI-62835
701,1,1,0,ADI-62836
704,1,0,0,ADI-62841
713,1,1,0,ADI-62854
715,1,1,0,ADI-62858
717,1,0,0,ADI-62861
727,1,1,0,ADI-62878
748,1,1,0,ADI-62924
755,1,0,0,ADI-62938
759,1,1,0,ADI-62942
769,1,1,0,ADI-62952
770,1,1,0,ADI-62953
781,1,1,0,ADI-62965
787,1,1,0,ADI-62972
795,1,1,0,ADI-62980
800,1,1,0,ADI-62986
802,1,1,0,ADI-62988
804,1,1,0,ADI-62991
806,1,1,0,ADI-62994
810,1,1,0,ADI-62998
814,1,1,0,ADI-63002
819,1,1,0,ADI-63009
835,1,1,0,ADI-63027
837,1,1,0,ADI-63029
840,1,1,0,ADI-63032
841,1,1,0,ADI-63033
846,1,1,0,ADI-63039
868,1,1,0,ADI-63064
877,1,1,0,ADI-63076
878,1,1,0,ADI-63077
885,1,1,0,ADI-63085
886,1,1,0,ADI-63086
890,1,1,0,ADI-63090
899,1,1,0,ADI-63101
901,1,1,0,ADI-63103
905,1,1,0,ADI-63107
906,1,1,0,ADI-63110
910,1,1,0,ADI-63114
913,1,1,0,ADI-63117
919,1,1,0,ADI-63125
921,1,1,0,ADI-63127
940,1,1,0,ADI-63149
941,1,0,0,ADI-63150
946,1,1,0,ADI-63155
947,1,1,0,ADI-63156
953,1,1,0,ADI-63164
962,1,1,0,ADI-63175
964,1,1,0,ADI-63179
966,1,1,0,ADI-63181
971,1,1,0,ADI-63186
972,1,1,0,ADI-63187
981,1,1,0,ADI-63196
989,1,1,0,ADI-63205
990,1,1,0,ADI-63206
992,1,0,0,ADI-63208
996,1,1,0,ADI-63212
997,1,1,0,ADI-63213
1001,1,1,0,ADI-63218
1005,1,0,0,ADI-63222
1009,1,1,0,ADI-63227
1012,1,1,0,ADI-63230
1013,1,1,0,ADI-63231
1016,1,1,0,ADI-63234
1024,1,1,0,ADI-63247
1028,1,1,0,ADI-63252
1045,1,1,0,ADI-63269
1048,1,1,0,ADI-63272
1049,1,1,0,ADI-63273
1063,1,1,0,ADI-63291
1064,1,1,0,ADI-63292
1069,1,1,0,ADI-63298
1083,1,1,0,ADI-63312
1095,1,1,0,ADI-63325
1106,1,1,0,ADI-63338
1107,1,0,0,ADI-63339
1125,1,1,0,ADI-63361
1132,1,1,0,ADI-63368
1139,1,1,0,ADI-63376
1156,1,1,0,ADI-63395
1160,1,1,0,ADI-63402
1163,1,1,0,ADI-63406
1165,1,1,0,ADI-63408
1176,1,1,0,NCV2SG48
1177,1,1,0,NCV2SG53
1178,1,1,0,Liu_6-2C
1179,1,1,0,Liu_10-5B
1180,1,1,0,Liu_3-1C
1181,1,1,0,Liu_1-1D
1182,1,1,0,Liu_1-2D
1183,1,1,0,Liu_2-2E
1184,1,1,0,Liu_3-7D
1185,1,1,0,Liu_13-1C
1186,1,1,0,Liu_13-1F
1187,1,1,0,Liu_13-2G
1188,1,1,0,Liu_13-3B
1189,1,1,0,Liu_14-1C
1190,1,1,0,Liu_14-2G
1191,1,1,0,Liu_14-5G
1192,1,1,0,Liu_14-6A
1193,1,1,0,Liu_16-1C
1194,1,1,0,Liu_16-2G
1195,1,1,0,Liu_16-3A
1196,1,1,0,Liu_16-3D
1197,1,1,0,Park_27-60
1198,1,1,0,Park_35-15
1199,1,1,0,Park_35-46
1200,1,1,0,Park_43-09
1201,1,1,0,Park_43-34
1204,1,1,1,Pavan_110
1205,1,1,1,Pavan_104
1207,1,1,1,Pavan_27
1212,1,0,1,Pavan_32
1213,1,0,1,Pavan_30
1215,1,1,1,Pavan_43
1216,1,1,1,Pavan_48
1217,1,1,1,Pavan_125
1219,1,0,1,Pavan_35
1223,1,1,1,Pavan_53
1226,1,1,1,Pavan_136
1227,1,1,1,Pavan_71
1229,1,1,1,Pavan_33
1232,1,0,1,Pavan_31
1233,1,0,1,Pavan_40
1236,1,1,1,Pavan_29
1237,1,1,1,Pavan_45
1238,1,1,1,Pavan_46
1239,1,1,1,Pavan_78
1240,1,1,1,Pavan_51
1241,1,1,1,Pavan_105
1244,1,1,1,Pavan_39
1245,1,1,1,Pavan_145
1246,1,1,0,P2-1B1
1247,1,1,0,P5-1C8
1248,1,1,0,P5-2H11
1249,1,1,0,P5S-2B6
1250,1,1,0,P5-1H1
1251,1,1,0,P5S-2A9
1252,1,1,0,P195-1E11
1253,1,1,0,P10S-2F9
1254,1,1,0,P10S-1D8
1255,1,1,0,P195-1B7
1256,1,1,0,P2-2D8
1257,1,1,0,P186-2B1
